id,timestamp,token,manual,time,lines,views
1OhXuAScrYQ,43.8,11:24AM,true,11:24am,Police say this||started around 11:24AM on||November 11 Harris County,125732
-U48ZebVMDw,1670.2,11:24am,true,11:24am,on our way back to wait for the shuttle bus||and right now it is 11:24am||and the,110664
U6_jZeYuE_0,43.9,11:24AM,true,11:24am,Police say this||started around 11:24AM on||November 11 Harris County,32530
Ez7qzTih_LA,43.5,11:24AM,true,11:24am,Police say this||started around 11:24AM on||November 11 Harris County,7298
djvundgGFQ4,0,11:24AM,true,11:24am,"Today at 11:24AM , City Miami Fire Rescue received 911 calls of||a vehicle who had driven off the second storey landing of a building complex||When we arrived, the ve",4811
dG7Hkg1XKz0,564.4,11:24am,true,11:24am,We are in the glass floor gondola||11:24am : Genting Highlands Premium Outlets||11:29am: Lunch at The Chicken Rice Shop,4815
Rcy7m4bETqg,585.8,11 24 am,true,11:24am,at all times and keep him||safe so this is what it looks like at 11 24 am and||this is the brightest part of our day isn't that a,140739
Jyz1tq2wYa4,331.3,11:24 AM,true,11:24am,"Wow||Where were you on April 25th 2015, 11:24 AM ?||Well this person was making a list called ""Things""",241494
Jh9cNxUo4Sk,114.1,11 24 am,true,11:24am,head over to the d terminal where i'm going to send my standby from 11 24 am to 5||24 pm||So if I do not get called for a trip,79365
3bl7uCL1w3g,507.3,11 24 AM,true,11:24am,"network to do so||CNN declared that Biden was the Victor the next day at 11 24 AM followed by other networks||But Fox did not concur until 11:40 a m,",63842
npM4gonnp90,177.5,11:24 am,true,11:24am,"have occasionally caused part of the||spatter cone to collapse, with one example occurring at 11:24 am local time on July 24th,||which caused lava to flow onto a patch of ground",76736
C-2PxAfuO44,481.3,11:24 AM,true,11:24am,whatever positions you've taken on a consistent basis||So it's 11:24 AM and some of the banking stocks are moving||So if you take a look at,43227
-IwyhxBnflo,641.7,11 24 am,true,11:24am,that means that's four minutes||into the video that means i walked in at 11 24 am she called 9-1-1 at 11 26 am and me and the||judge barely,6448
697yr-MVIco,755.5,11:24 am,true,11:24am,"it's Tuesday, February 28th, 2023,||11:24 am , and NYU has a status update||I don't know why I'm speaking so",6602
ywVtXenFwDE,111.2,11 24 AM,true,11:24am,EVENTUALLY BLOOMING TONIGHT BY 11 23 AM JOURNAL 11 24 AM AND||TONIGHT BY 11 23 AM JOURNAL,3996
ywVtXenFwDE,113.4,11 24 AM,true,11:24am,AND||TONIGHT BY 11 23 AM JOURNAL 11 24 AM AND EVENTUALLY HUGHES BY 11||JOURNAL,3996
h7fqG24aml8,164.6,11:24 AM,true,11:24am,fiery Aries but it's going to||go void of course 7:20 AM to 11:24 AM Pacific Time||The void,3554
