id,timestamp,token,manual,time,lines,views,category
pPbWjUM7Jpk,574.7,12:56am,true,12:56am,"later that evening||Then I got this notification at 12:56am ,||saying that the owner of whatever device",1102227,24
4GoB3xs0pBA,1159,12:56am,true,12:56am,to his plane||He too could not leave his seat||The time was now 12:56am The Airbus was pulled out of its initial dive as Piskaryov manages to pull back,884098,27
xmvcZoP5Cmk,123.1,12:56 AM,true,12:56am,"Andrews Place||At 12:56 AM , just four minutes before the scheduled exchange, Mac Miller would once||again send a message",4249999,22
OOFYWKN-_SU,509.4,12 56 am,true,12:56am,impression that he was distressed or in trouble||at 12 56 am theo sent his final message||to a friend he had made in australia,2061905,24
agi4YaXeTFc,247.6,12:56 AM,true,12:56am,departs the airport at 5:07 AM and the last train departs the airport at||12:56 AM||It will take about 30 minutes to downtown,310061,19
ELktZliY_cE,41.4,12:56 AM,true,12:56am,"Ezekiel Kelly on September 7th, 2022||At 12:56 AM , officers responded||to a shooting in the 3100 block of",62089,25
ELktZliY_cE,912.1,12:56 AM,true,12:56am,"56 as the first scene, 12:56 PM||12:56 AM last night last||night",62089,25
OOFYWKN-_SU,509.4,12 56 am,false,12:56am,distressed or in trouble||at 12 56 am Theo sent his final message||to a friend he had made in Australia,2061905,24
WB9lKbkMu30,626.4,12 56 am,false,12:56am,okay i'm done my makeup and it's||literally 12 56 am i'm gonna take the||instagram pictures now i'm probably just,1952616,22
pPbWjUM7Jpk,574.9,12 56 am,false,12:56am,notification later that evening then i||got this notification at 12 56 am saying that the owner of whatever device||is tracking me can see my location,1102227,24
pPbWjUM7Jpk,574.9,12 56 am,false,12:56am,notification later that evening then i||got this notification at 12 56 am saying that the owner of whatever device||is tracking me can see my location,1102227,24
NEv_l_I91mU,407.7,12:56 am,false,12:56am,candidates||12:56 am a question Evelyn but imagine||if we didn't think it and also the,570054,26
oS1bEt8x2Xc,97.5,12 56 am,false,12:56am,in the comfort of their own home then at||precisely 12 56 am on the morning of may||5th 2012 the shasta county police,370014,22
CzlPooOnO8o,64.1,12 56 am,false,12:56am,something special would end in Bloodshed||at roughly 12 56 am on the 7th Marcus||had gone to check on his eight-month-old,368948,22
N8rJhGs6IM4,304.6,12 56 am,false,12:56am,at 5 35 pm on July 22nd Apollo||11 started its return to trip at 12 56 am safely splashing down in the Pacific||Ocean on July 24th at 12 50 PM although,334283,28
EKtc893oxNo,348.4,12 56 am,false,12:56am,it is 12 30||12 56 am i was not expecting to get a trip||literally like,110668,19
CdZCJkkhxCU,565.7,12 56 am,false,12:56am,distressed or in trouble||at 12 56 am theo sent his final message||to a friend he had made in australia,82326,27
