id,timestamp,token,manual,time,lines,views
kUpwvr4YlD4,633.9,1:00pm,true,1:00pm,"bitch||I’ll explain what happened, but just know that I started playing at around 1:00pm and||by 5:00pm I’d done enough shots to black out",3546535
1iKK2t-HlS8,37.9,1:00pm,true,1:00pm,"and then later on, early this afternoon,||I already booked tickets online for 1:00pm and we are gonna to visit the Vatican City||upbeat tempo music",2762000
Q0gsj9Qtyuo,156.5,1:00pm,true,1:00pm,Shortly after||1:00pm a ride operator noticed a warning light indicating a fault with||the ride,1502912
qGDLEIg7eIs,224.2,1:00pm,true,1:00pm,"the 20th of July, 1981||At around 1:00pm David Kirwan and his friend Ronald Ratliff were||visiting the Fountain Paint Pot cluster of",1337324
PntgiGbnwNg,144.9,1:00pm,true,1:00pm,"granted admission from 3:00pm, and so arrived a||few hours before that at 1:00pm||They gathered",1158292
Ph_R9i6o1BY,1431.3,1:00PM,true,1:00pm,have picked up Aamina||we are riding from here and we have to leave by 1:00PM We have many subscribers with us||Even though some of them has left many are,886548
abwPu2GpCsI,172.7,1:00PM,true,1:00pm,"this all the way out,||this is as far out as the radar can go- 1:00PM Saturday- this is what the radar could and more||than likely will look like",433801
94ObOWSm_hM,340.4,1:00PM,true,1:00pm,"Later||in the day on Thursday around 12:00- 1:00PM ,||all of those parameters for severe weather-",392783
_HWW9LXQ4fw,408.9,1:00pm,true,1:00pm,"not a direction to be heading in Vietnam ”||Finally, at 1:00pm , the initial waves of the 3rd||Brigade of the Cavalry arrived at their positions",408512
3DV7cVJHUh4,254.6,1:00pm,true,1:00pm,The early stages of the launch test did not go smoothly||At 1:00pm the three astronauts reported that their oxygen smelled foul – something which||put the countdown on,829215
3GY1pPj-Yuw,1422.1,1:00pm,true,1:00pm,"Okay, great||Number five: By 1:00pm - first, we're just going to read a sentence, okay? Then we're||going to",600015
3GY1pPj-Yuw,1427,1:00pm,true,1:00pm,"try to make a question from it||By 1:00pm , the athletes will have been running||for four hours",600015
KiPnKa8wFew,391,1:00PM,true,1:00pm,"we decided on his first focused study block||at 1:00PM||In my case, I am fresh and thinking",431051
dxGsLVyMA2c,426.3,1:00PM,true,1:00pm,"S&S: How long does it take to reach there?||Man: It should reach around 1:00PM||S&S: Is it a scenic route? Man: It's beautiful, especially Shelabagh",321420
k3NCZQqQbDE,687.7,1:00pm,true,1:00pm,"lets have lunch now||Mams: I have got a full day of meetings from like 1:00pm||Mams: if you're around, I'll uber you to where I am",325888
wHQ8oAE07-E,267.2,1:00pm,true,1:00pm,"Despite the unavoidable signs of war,||Athenia departed Liverpool at 1:00pm on||September 2 - without recall",254115
vRFgDTdV1xc,85.8,1:00pm,true,1:00pm,"Yes, yes, table for two||I'll be there by 1:00pm What? What an asshole Pooja||Pooja I'll be right there",145217
seSehp6YMtI,386.7,1:00pm,true,1:00pm,model in the middle of the day||Here is an example of shot taken at 1:00pm in the afternoon with the sun high and behind||the subject,142113
Rk1p-rjRcxA,621.5,1:00PM,true,1:00pm,"follicle's ability to grow hair||1:00PM It's Lunch Time||I usually eat rice, fish or meat, papaya, vegetable, boiled egg",117717
7APhmVUC1_k,623.9,1:00pm,true,1:00pm,"better than other sweet shops||It's almost 1:00pm||And look, I have come here at 9:30am",116249
7APhmVUC1_k,628.1,1:00pm,true,1:00pm,"Ropar City till 1:00pm||Now, I will leave from here||Thank you, Brother",116249
vAhFWyKD79o,959.6,1:00pm,true,1:00pm,"it in advance||It is open every day between 1:00pm and 4:00pm except for||Tuesdays, but you do need to book a pontoon in",116112
ZSzO-0M6QXs,555.8,1:00pm,true,1:00pm,"to about 4 centimeters, we were ready to do the Pitocin||From like 10:40am- 1:00pm||I was enduring all the contractions",114073
sw1VU6vwiOI,175.3,1 00PM,true,1:00pm,"Finally, we have reached the monastery, it's 1 00PM and to be honest, the road is very beautiful and very tiring||Meaning on one",99951
-U48ZebVMDw,724.7,1:00pm,true,1:00pm,"so cold||after we finish traveling to Nami Island, it should be around 12:50- 1:00pm and then we'll return to our tour bus to move onto the skiing location",110664
BH57l-GiWJM,1549.6,1:00pm,true,1:00pm,", I was editing the audition that I taped yesterday,||to get that sent off before 1:00pm||And then, by the time I'd sent it off, it was, like 12:30",92014
5VEFnUs22gw,88.5,1:00pm,true,1:00pm,in the house she strangled and dumped the body||Her father-in-law returned at 1:00pm Sandhya was hysterical and claimed her baby was kidnapped||The police were quickly informed and,81980
