id,timestamp,token,manual,time,lines,views,category
E-3fvTF2-Ag,94.8,1 21pm,true,1:21pm,"then visited a gym, working out until 12 40pm and next went home, where at 1 21pm she accessed Facebook from her home computer and posted photographs of Kyron from the science",421229,24
CJHcJkd3bH0,145.2,1:21PM,true,1:21pm,"- You're causing a scene||- Patient fainted at 1:21PM||After five compression attempts, he responded at 1:23PM,",24360,24
TcSpBAZvMhI,567,1:21 PM,true,1:21pm,"almost an hour as the next report||indicated the President walked into his limo at 1:21 PM —with the knowledge of their departure,||anyone at the destination knows to get ready if",1629538,27
dtqx4LbyNV8,111.1,1:21 PM,true,1:21pm,IT CONTAINS NO INFORMATION FROM||THE PERIOD BETWEEN 1:21 PM AND||4:03 PM,110835,25
IjKzQ7IKBeY,51.1,1:21 pm,true,1:21pm,"dangerous volcanoes, Hekla||On November 11th, at 1:21 pm local time, a magnitude 5 2 earthquake was felt in Reykjavik,||the capital of Iceland",83478,27
CRZ5Hsfgymo,42.9,1:21 PM,true,1:21pm,"Communications, a 911 call||was received at 1:21 PM local||time, and Pickler told police that she",69986,25
XCgDwtRHPhU,156.4,1:21 PM,true,1:21pm,"IN MISTER TRUMP'S DAILY DIARY||AT 1:21 PM , THE PRESIDENT MET||WITH HIS VALET WHICH SIGNALS A",29693,25
vlieDeA8qEc,13.1,1:21 PM,true,1:21pm,Fighters will be a big pull up and||to the right until 1:21 PM at the wings||over Dallas Air Show on November the,24648,25
TcSpBAZvMhI,567.8,1 21 PM,false,1:21pm,next report indicated the president||walked into his limo at 1 21 PM with the||knowledge of their departure anyone at,1629538,27
fB_tnoZnKqo,2551.8,1 21 PM,false,1:21pm,happens when you put body parts in||ammonia 1 21 PM is it better to throw||crime scene clothes away or wash them,1453151,24
ycEbzpD8V4U,219.9,1 21 pm,false,1:21pm,is also silent it contains no||information from the period between 1 21 pm and 403 pm||but what we do know,433849,25
6wKGc1ZxnIE,450,1 21 PM,false,1:21pm,ammonia||searches again at 1 21 PM is it better||to throw crime scene clothes away or,356950,24
lxogqvm0UpU,162.1,1 21 PM,false,1:21pm,what happens when you put body parts in||ammonia at 1 21 PM was the Federal||pricing,473471,20
M5IyzzTjsQs,1430.6,1 21 PM,false,1:21pm,detect blood at 108 what happens when||you put body parts in ammonia at 1 21 PM was the Federal pricing||clothes away or wash them,305273,24
GnC0IJkNXNU,426.3,1 21 PM,false,1:21pm,detect blood at 108 what happens when||you put body parts in ammonia at 1 21 PM is it better to throw crime scene close||away or wash them,345526,22
crq3tKZrvM8,1218.5,1 21 pm,false,1:21pm,little csi t-shirt she posted those||around 1 21 pm which obviously they have||proof of that and then she also tells,167283,22
FKb8Obv7vLM,306.1,1 21 PM,false,1:21pm,Church and look at the clock tower the||hands are stuck at 1 21 PM this is a||subtle nod to Gwen Stacy's death scene,667453,20
FKb8Obv7vLM,314.3,1 21 pm,false,1:21pm,falls off a tower in the film and the||clock also gets Frozen at 1 21 pm and in||the comics Gwen dies in issue 121 so,667453,20
VFKbpfs4vlA,99.5,1 21 pm,false,1:21pm,approximately one hour and finally||returned home at around 1pm at 1 21 pm she had posted photos of kyron at the||science fair on facebook by 3 30,104764,24
KII_SgExTf8,275.9,1 21 PM,false,1:21pm,detect blood at 108 what happens when||you put body parts in ammonia at 1 21 PM is it better to throw crime scene||close away or wash them,103436,25
IjKzQ7IKBeY,51.2,1 21 pm,false,1:21pm,nation's most dangerous volcanoes hekla||on november 11th at 1 21 pm local time a||magnitude 5 2 earthquake was felt in,83478,27
3L_dBlaC4cM,627.9,1 21 pm,false,1:21pm,seems to have been having car trouble||1 21 pm may 25th||and i just noticed that the sign,82866,19
9bv1KPl8OgM,174.1,1 21 PM,false,1:21pm,108 PM what happens when you put body||parts in ammonia 1 21 PM is it better to||throw crime scene clothes away or wash,78381,25
CRZ5Hsfgymo,42.7,1 21 PM,false,1:21pm,emergency communications a 9-1-1 call||was received at 1 21 PM local time and||Pickler told police that she awoke a,69986,25
gtuMdPvuok8,334,1 21 pm,false,1:21pm,dad l he says hey buddy and the message||though wasn't answered until 1 21 pm one||minute before leticia enters petco again,97301,24
NHY-MEBR5Wc,81.1,1 21 PM,false,1:21pm,detect blood at 108 what happens when||you put body parts in ammonia at 1 21 PM is it better to throw crime scene||close away or wash them,64092,24
wUFT99Pw0IY,267.9,1:21 P M,true,1:21pm,PUT BODY PARTS IN AMINE I CAN'T?||AT 1:21 P M DOES IS IT BETTER||TO THROW CRIME SCENE CLOTHES,128760,25
KII_SgExTf8,281.9,1:21 p m,true,1:21pm,"What happens when you put||1:21 p m , Is it better||to throw crime scene?",103436,25
XK5QUeXtVQA,534.7,1:21 P m,true,1:21pm,Daily diary is also silent||It contains no information from the period between 1:21 P m and||403,55199,25
94snGtnvle0,169.3,1:21 P M,true,1:21pm,"DAILY DIARY||AT 1:21 P M , HE MET WITH HIS||VALET, SIGNIFYING THE",30513,25
BHebrNH6EII,736.2,1 21 p m,false,1:21pm,like sat on the ledge||oh my god what time is it johnny 1 21 p m congratulations you lasted an entire||three hours and 20 minutes,17647764,1
d_NO-jCLrjY,1116.4,1 21 p m,false,1:21pm,there at eight o'clock in the morning||she passed away at 1 21 p m something||like that and,2486727,22
cGfIxvlCYsY,330.2,1:21 p m,false,1:21pm,system log sentinel system log log event||wannna 1:21 p m continuing patrol route||maintaining escort formation voiceprint,1858472,20
