id,timestamp,token,manual,time,lines,views,category
fTsBKGnDdNo,487.2,9 24 am,true,9:24am,social butterfly everyone got along with her end quote but on July 22nd||2020 and 9 24 am a 29 year old man named Jay Tolson called the Kitty Hawk police dispatch||and,445753,24
cewCkjgsDq4,89.2,9 24 am,true,9:24am,it's going to be I'm gonna guess it's GameStop||I don't know it's only 9 24 am it's too early||for me to call GameStop and ask them here it is,182798,20
6zn268hmqCY,27.1,9:24 AM,true,9:24am,"Good morning||It's currently 9:24 AM , very, very early||And also, I think this is the first time you saw this",164812,22
rKaB6w3Cm4I,2714.9,9:24 am,true,9:24am,from her again||Narrator: 9:24 am||In the skies over,27147,22
LRbUdQ85Vjw,1227.8,9 24 am,false,9:24am,bandits||exited the bank at 9 24 am they were shocked to see that they were||completely,1140674,23
fTsBKGnDdNo,485.7,9 24 am,false,9:24am,got along with her end quote but on July||22nd 2020 and 9 24 am a 29 year old man||named Jay Tolson called the Kitty Hawk,445753,24
cewCkjgsDq4,89.2,9 24 am,false,9:24am,it's GameStop||I don't know it's only 9 24 am it's too||early for me to call GameStop and ask,182798,20
nW99bGHJOg4,291.4,9 24 am,false,9:24am,today||at 9 24 am this is today at||y'all see that in the top right corner,161586,20
jPo3eK6wvJA,545.5,9 24 am,false,9:24am,mustang leaving this happened at the||very beginning was 9 24 am and i||remember specifically getting a text,144504,2
cNCbGDz6poo,883.9,9 24 am,false,9:24am,'m gonna do I'm gonna do||some laundry okay y'all so it's 9 24 am now and I read like the first couple||pages of this book already so good,134291,24
4i9XymujcDw,440.6,9 24 am,false,9:24am,your judgment||stan 9 24 am ha i like any pub dive and||dive,122542,24
I1FbPUnKq7A,121.1,9 24 am,false,9:24am,oh i can move these too all right||so today 9 24 am wait when are you guys||gonna be back,79250,20
2oEaYy2Zmxg,16,9 24 am,false,9:24am,The Loft it's so cute I need to do this||more it is currently 9 24 am right now I||already worked out I'm honestly not,91775,22
Z-CG0HpqnXE,9.8,9 24 am,false,9:24am,announcements came looking like this at||9 24 am maxine posted this at everyone||and first of all you can click this,61438,20
22amMY4zz7Y,178.2,9 24 am,false,9:24am,here were the positions of the planets||at 9 24 am when i came out of the womb||now here we have a chart,58856,26
sT577HOZRjM,26.9,9 24 am,false,9:24am,the day that i'm doing my photo shoot||currently is 9 24 am and i||am in class right now in class,47618,22
Rs0FFV38qno,9,9 24 am,false,9:24am,all right let's jump into the sales as||you can tell today it is 9 24 am and i'm currently at 3 283||on the store alone all right so let,47217,22
tfElk2gwKjE,324.2,9 24 am,false,9:24am,right||it's 9 24 am my mom just sent me a||message,45586,20
k8mSVIGAc2g,470,9 24 am,false,9:24am,little update it is now||9 24 am so i am two hours and 20 minutes||into my standby shift,34013,19
io2wZyilQbM,194.1,9 24 am,false,9:24am,more mess so that's always a plus||it is now 9 24 am my online lesson||starts in about,30765,24
cz26YKBwm5Q,611,9 24 am,false,9:24am,summer and sometimes you're just lucky||this photo here was taken at 9 24 am it was in august but i have||very very strong atmospheric conditions,30015,27
6xRCoNFCQjk,908.3,9 24 am,false,9:24am,Matthew didn't interact with any of them||only his own children then by 9 24 am that same day Abby texts Matthew saying||we are doing this together babe praying,46021,22
pS5QNbqKMn0,124.2,9 24 am,false,9:24am,accused of assaulting a pregnant woman||on Friday morning at 9 24 am on the 20th||of January authorities were called to a,20943,24
GfVCokUIp4M,620.9,9 24 am,false,9:24am,some moral of the story I will defer to||your judgment Stan 8 26 9 24 am hahaha I||like any Pub type in dive not into the,27258,22
DspPOq6ENow,397.9,9 24 am,false,9:24am,residence||this was at 9 24 am when police first||arrived at the residence the front door,229677,24
OuIsVarRa14,355.8,9 24 am,false,9:24am,makeshift perimeter between them it's||now 9 24 am although the two are||currently on time they are unaware of,22121,24
DkN9V0Ox6pY,56.5,9:24 A M,true,9:24am,JUST ONE PROBLEM||IT WAS 9:24 A M LAUGHTER||HOW DO THEY PREPARE HIM FOR,3270146,24
cPPw0zlC--0,483.7,9:24 A M,true,9:24am,"INTERNATIONAL SPACE STATION, DOCKING||WITH THE INTERNATIONAL SPACE STATION, DOCKING AT 9:24 A M||EASTERN",782937,25
cPPw0zlC--0,484.8,9:24 A M,true,9:24am,"EASTERN||SPACE STATION, DOCKING AT 9:24 A M EASTERN TIME||AT",782937,25
