id,timestamp,token,manual,time,lines,views,category
s4i-wwxYoOc,1904.2,12:03pm,true,12:03pm,"a bit man, what's the time?||- It's five minutes past so it's 12:03pm||- Really?",1001424,19
71c1WAOJ2T4,60.7,12:03pm,true,12:03pm,He looks down at his watch frantically||It's 12:03pm There's not enough time||He,719854,1
nhM-GFFtRZQ,301.1,12:03pm,true,12:03pm,"on that fine second Monday of the month||Our Dental Commander called us at 12:03pm , 3 minutes after he would have gotten his and||he had blown a head gasket",21719,23
RV6SAQvR-JE,183.6,12:03 PM,true,12:03pm,"Children from other classrooms seen||evacuating the school at 12:03 PM ,||a child from Room 112 calling 911",1000938,25
AtoLQ36bHDQ,322.5,12:03 pm,true,12:03pm,"The first officer acknowledges the information and requests the in-range checklist||At about 12:03 pm , the captain states, ""you're driving and you stay focused on that and make||me",276238,20
pBMcoMtxNaY,176.1,12:03 PM,true,12:03pm,"IT IS AT THIS POINT, IT IS AT||THIS TIME, 12:03 PM , THAT WE||GET OUR SECOND 9-1-1 CALL",115862,25
0n4Fv6RGTAY,205.6,12 03 pm,true,12:03pm,Maybe is giving a bus proxy||The driver started our journey at 12 03 pm with a total of 26 passengers towards the Bheramara counter||This time I changed my,102374,19
P_Rl96Mv9iE,32.4,12 03 pm,false,12:03pm,being barricaded inside a classroom||investigators now say by 12 03 pm tuesday half an hour after the shooting||began as many as 19 officers were inside,412661,25
72IaJO2wxT8,21.7,12:03 P M,true,12:03pm,"AT 11:55 A M ,||CAPTAIN HOLT WALKED PAST US HOLDING A HOT BOWL OF SOUP||AT 12:03 P M , I HEARD HIM YELL",1432621,24
P_Rl96Mv9iE,45.5,12:03 P M,true,12:03pm,"TUESDAY,||INVESTIGATORS NOW SAY BY 12:03 P M||TUESDAY, HALF AN HOUR AFTER THE",412661,25
-XuNtLf5FFM,693.9,12:03 p m,true,12:03pm,"from trespassers||At 12:03 p m , violence erupted when an American shot a police officer in the face||Consequently, tear gas",378866,1
noV7jxULswg,199.4,12:03 P M,true,12:03pm,THE 8-9 CHILDREN THAT WERE||ALIVE AT 12:03 P M ?||I DID NOT GET AN ANSWER,191974,25
jRAe-MSpgFE,28.1,12:03 P M,true,12:03pm,MANY AS 19 OFFICERS IN A HALLWAY BY 12:03 P M BUT THE||OFFICERS IN A HALLWAY BY,95006,25
jRAe-MSpgFE,29.4,12:03 P M,true,12:03pm,BUT THE||OFFICERS IN A HALLWAY BY 12:03 P M BUT THE DOOR TO THE FOURTH||BY,95006,25
UawKJJOkqLI,329.3,12:03 p m,true,12:03pm,"At 11:58 am, children from other classrooms seen evacuating the school||At 12:03 p m ,||a child from room 112 calling 911 telling dispatch where she was",29504,25
VY5a0_cLXE0,167.9,12:03 P M,true,12:03pm,On Sunday the President was wheels down in New York City||precisely at 12:03 P M The next few days were a whirlwind of meetings with||world leaders and speeches to,16208,25
PzNh1dpk2V8,6.1,12:03 p m,true,12:03pm,"The caller identified, I will not say her name,||but she was in room 112, called 9-1-1 at 12:03 p m||The duration of the call was 1:23, she identified herself and whispered that she was in room 112",11769,25
Hi0BzqV_b44,357.4,12:03 p m,false,12:03pm,sometime back that is not a typo Oh at||12:03 p m Eastern Standard Time||January 12th 2016 the battle for the,8953180,24
BkpAro4zIwU,614.9,12:03 p m,false,12:03pm,time is it there||the time is 12:03 p m what's the||population its human population so,6322441,28
tVMa64snRiA,377.9,12:03 p m,false,12:03pm,walked past us holding a hot bowl of||soup at 12:03 p m I heard him yell out||then at 12:07 he called Gina into his,2802963,23
3M4q4JWEioQ,228.2,12 03 p m,false,12:03pm,soup||at 12 03 p m i heard him yell ouch then||at 1207 he called gina into his office,2001662,24
0P25_XKqAUk,194,12:03 p m,false,12:03pm,walked past us holding a hot bowl of||soup at 12:03 p m I heard him yell out||then at 12:07 he called Gina into his,1459320,24
8pzK9cXXPxM,152.7,12:03 p m,false,12:03pm,really bad day I was in the DMV for||literally a quick update it is 12:03 p m on the speedometer it's late it's||too late,878567,22
8Cs_dZLRbo0,368.5,12:03 p m,false,12:03pm,walked past us holding a hot bowl of||soup at 12:03 p m I heard him yell out||then at 12:07 he called Gina into his,742394,24
Nkiz9hMLykA,369.5,12 03 p m,false,12:03pm,holding a hot bowl of soup||at 12 03 p m i heard him yell ouch||then at 1207 he called gina into his,573044,23
q9L17dZxnnI,285.3,12:03 p m,false,12:03pm,Ashley is coolest week anyways it's||currently 12:03 p m we are on a witch||Fashion Island for an exciting reason,487441,22
u7xRjoYdcQQ,309.3,12:03 p m,false,12:03pm,franchise to direct and narrate the||resulting video footage at 12:03 p m Eastern Standard Time||January 12th 2016 the battle for the,360166,24
w7b1WS49t-0,150,12 03 p m,false,12:03pm,okay so it is a bit later on now it is||12 03 p m and i am already hungry like those||rainbow hoops didn't do it for me,378978,24
yVlKHU6_HlY,314.2,12:03 p m,false,12:03pm,Holt walked past us holding a hot bowl||of soup at 12:03 p m I heard him yell||out were then treated to a rundown of,293548,24
xMYZ8gm4g3I,293,12:03 p m,false,12:03pm,beat was cliff and I encountered a CP||Stantler at 4:42 at 12:03 p m which is||just about noon I then came back at 1252,198666,20
Kvu0_oi5UJk,111.9,12:03 p m,false,12:03pm,rotation rotate that over to reach your||destination by 12:03 p m and we can go||for a dry so you guys can see Oh,144046,22
ETxhbf3-z18,401.2,12:03 p m,false,12:03pm,here let's say oh there we go it is||12:03 p m and if you wanted to make a||new tech strip now where would you find,86957,24
cBQdkLFEfJo,904.5,12:03 p m,false,12:03pm,for the end of our video for the day we||are headed to bed at 12:03 p m and I||mean I'm going or am I'm gonna wake them,66304,22
AgYTTZcML9c,185.1,12 03 p m,false,12:03pm,coming in you||so it is currently 12 03 p m and it's january 5th and 200 pages||posted the ad so far,64464,27
mU6PHFt5UEQ,333.7,12:03 p m,false,12:03pm,can turn into a disaster who knows so it||is currently 12:03 p m I'm getting a||little bit of a late start to per usual,56416,26
8rq4REJM29M,21,12:03 p m,false,12:03pm,walked past us holding a hot bowl of||soup at 12:03 p m I heard him yell out||then at 12:07 he called Gina into his,64035,23
r_oEBq_2oMg,355.7,12:03 p m,false,12:03pm,does discussed it he discussed these||yesterday July 2nd 12:03 p m specific||time you go down here and it sounds like,51687,24
Tl82HtGb06I,191.1,12 03 p m,false,12:03pm,scene ramos shot at them grazing two of||them at 12 03 p m there were as many as||19 police officers in the hallway those,49277,25
BCI01mq3AY4,493,12:03 p m,false,12:03pm,central||Daylight Time at 12:03 p m central||Daylight Time a severe thunderstorm was,44359,24
