id,timestamp,token,manual,time,lines,views,category
USu7CDkmBsw,56.1,12:08 AM,true,12:08am,"Boop boop boop boop boop BOOP||I doubt he's awake by now, It's 12:08 AM here||robot lady: this call is being recorded",272877,28
4Ak5tbwOJZQ,1284,12:08 AM,true,12:08am,"NARRATOR: February the 1st, 2019||At 12:08 AM , Relowicz's silver Vauxhall Astra drove||off with Libby in the car",203522,1
jvu4L74hgXc,13.1,12:08 AM,true,12:08am,from stab wounds||He was pronounced dead at 12:08 AM||Tyler Cervantes is suspected in the attack,48205,25
E8roJKrcmng,345.7,12:08 am,true,12:08am,"internet usage being 11:41 pm, the router’s last internet connection was made at 12:08 am , around 30 minutes later||Further investigation into the router’s internet logs shows that||it",124637,24
KZQ3cqCJW6A,1240.3,12 08 am,false,12:08am,backwards bro||12 08 am after a little bit of a small talk he||dropped me off by a hotel,91642,20
o091oCvfr60,1721.5,12:08 am,false,12:08am,that's huge because I would submit to||you at 12:08 am Chad Amato was a live||now let's talk about some of the friends,45290,27
6g6Ki5rBAP4,209.4,12 08 am,false,12:08am,which should be according to schedule so||it's 12 08 am about to go for a walk i like to go||for a walk each and,26456,22
SjEeGCu9ptk,409.6,12:08 am,false,12:08am,6:28 am adolescent at 12:59 am an adult||at 12:08 am tuesday so and then the idle||ideal temperature for incubation is,17295,22
tkdRwHY-LsU,104.5,12:08 A M,true,12:08am,OLD MALE DEAD ON THE SCENE||AT 12:08 A M HE APPEARS TO BE SHOT ONE TIME||IN THE NEXT,19691,25
74YW55Wtj84,47.9,12:08 A M,true,12:08am,"APARTMENT||>> AT 12:08 A M , REPORTS OF||SHOT FIRED",11004,25
VuwFrMcmH64,206.9,12:08 a m,true,12:08am,at 11:24 p m||At 12:08 a m||Nixon checked into,11420,27
_zuqVCnMZfQ,986.8,12 08 a m,false,12:08am,really cold in here it is cold in this||room okay so are we there 12 08 a m wow||that took a while after a little bit of,1503433,20
H7rm45N4xFE,390.7,12:08 a m,false,12:08am,eventually I felt a lot better so Carter||was born at 12:08 a m on September 8||2017 once I got to feeling a little,233933,22
HlxJCIHUEFQ,724.1,12:08 a m,false,12:08am,want to show you this they receive the||atomic time hack at 12:08 a m this||morning from Fort Collins love that,106054,28
ptN4dQ-hLis,22.1,12 08 a m,false,12:08am,worry the report suggested that police||responded to a call at 12 08 a m regarding a shooting that occurred in||new jersey upon arriving at the scene,100010,22
NeXlYojqt0Q,36.5,12:08 a m,false,12:08am,very fresh payment from Viper that's||January 3 guys today 2020 at 12:08 a m so it's from my car so this application||is very legit and I tell,73905,22
vDkE0P4Cek8,1275.4,12:08 a m,false,12:08am,can see this right here||I sent her on August 15th at 12:08 a m in the morning a link to the palette and||this is Bloomingdale's so I,55521,25
qFIlBS8ESXU,479.9,12:08 a m,false,12:08am,you sorry I'm just so excited||this past Saturday April 13th at 12:08 a m Eastern Standard Time Taylor Swift||changed her profile picture on Instagram,38441,24
p1AVQQOKLEg,1303.1,12 08 a m,false,12:08am,poisoned me||12 08 a m past midnight after a little||bit of small talk he dropped me by a,59258,20
dVLH1mEvRFA,472.5,12:08 a m,false,12:08am,p m||and her ex sent messages at 12:08 a m 12:15 and 1231 all with no response||as he became increasingly worried he,14726,22
rAA3c0FtF2Y,1942.7,12:08 a m,false,12:08am,non critical hmm oh okay that's not it||this one is Hearst at 12:08 a m MPD||responded to a crash on eastbound I to,11775,22
bNhoWhWJvjI,305.5,12:08 a m,false,12:08am,look at the time like I posted this at||Thursday at 12:08 a m because you know||whatever I'm a night owl so I'm up late,10957,20
i-6B4HB6GOw,49.4,12:08 a m,false,12:08am,chair that's exactly where I left him at||12:08 a m last night he pretty much||stays there all night it's time to feed,11609,15
VuwFrMcmH64,207,12:08 a m,false,12:08am,at 1124 p m||at 12:08 a m Nixon checked||into the innkeeper later he left the,11420,27
3bSDvlbnKQM,363.1,12:08 a m,false,12:08am,and is||completed at 12:08 a m while the date||hand will move towards the next number,11249,22
