id,timestamp,token,manual,time,lines,views,category
p_XcifvGwus,508.5,5 32 am,true,5:32am,but when cctv footage emerged from the 18th||of april at 5 32 am it became clear||something more sinister was going on,101185,24
sqfMDFAKRG8,136.4,5 32 am,false,5:32am,shortly after her death dwayne tweeted||it's 5 32 am in hawaii this is the time||she would wake up to go hike coco head,322390,24
p_XcifvGwus,507.7,5 32 am,false,5:32am,answers but when cctv footage emerged||from the 18th of april at 5 32 am it||became clear something more sinister was,101185,24
YmbIjXe6DAQ,569.7,5 32 am,false,5:32am,what a strange stream 14 september||5 32 am wait what time is it for me||oh dude it's 5 33 am wait,82602,22
lYxxT1NXmZg,175.8,5 32 am,false,5:32am,used to be the location of ashley kansas||when law enforcement investigated at 5 32 am they reported that the fissure in the||earth,46075,24
ctOM8Wnx5ts,354.7,5 32 am,false,5:32am,then continues to film until after||sunrise at 5 32 am with the camera facing the same||direction we finally see the horizon and,33764,24
YEyciOudUS8,116.6,5 32 am,false,5:32am,junior september 1st 2021||5 32 am that's when the baby was born||um he weighed in one libra 14 ounces,22972,22
MyZl9EpXPVE,133.8,5 32 am,false,5:32am,according to chicago police department||the shooting happened around 5 32 am in the grassroom neighborhood 1600 block||of west 81st street in chicago so the,21012,22
a7KlGG7yV2E,155.2,5 32 am,false,5:32am,13th Andrew and his dog Rex got into||their truck at 5 32 am to see if they||could spot any other oned occurrences on,10770,22
dtBwgD8fvYg,357.1,5 32 am,false,5:32am,a one-minute conversation he called her||again at 5 32 am and held a four-minute||conversation,14480,22
SSYQ0-JCMXA,160.3,5 32 am,false,5:32am,I wonder who this extra person was||at 5 32 am shanan posted||exactly why I don't run,11755,22
zk9J4023RV0,38.1,5:32 A M,true,5:32am,"HER HUSBAND, DUANE TWEETED THIS||MORNING, IT'S 5:32 A M||IN",16478,25
dg19W3nzGJE,31.8,5:32 A M,true,5:32am,WAS ATTACKED NOT FAR FROM THE||BAY BRIDGE AT 5:32 A M TUESDAY||THE AREA THOUGHT TO BE A SAFE,15887,25
gYtmnePnvBM,216.8,5:32 a m,false,5:32am,facts right now born in Toronto Canada||5:32 a m I've used Anthony years such||oh you're a liar there's no way,5392922,20
Pl9bskRs4xU,244.2,5 32 a m,false,5:32am,gotta keep the hygiene up it is now||5 32 a m let's see if the line in the||mall game stuff has grown from last,1123820,22
