id,timestamp,token,manual,time,lines,views,category
1OhXuAScrYQ,43.8,11:24AM,true,11:24am,Police say this||started around 11:24AM on||November 11 Harris County,125732,25
-U48ZebVMDw,1670.2,11:24am,true,11:24am,on our way back to wait for the shuttle bus||and right now it is 11:24am||and the,110664,26
U6_jZeYuE_0,43.9,11:24AM,true,11:24am,Police say this||started around 11:24AM on||November 11 Harris County,32530,25
Rcy7m4bETqg,585.8,11 24 am,true,11:24am,at all times and keep him||safe so this is what it looks like at 11 24 am and||this is the brightest part of our day isn't that a,140739,22
Jyz1tq2wYa4,331.3,11:24 AM,true,11:24am,"Wow||Where were you on April 25th 2015, 11:24 AM ?||Well this person was making a list called ""Things""",241494,24
Jh9cNxUo4Sk,114.1,11 24 am,true,11:24am,head over to the d terminal where i'm going to send my standby from 11 24 am to 5||24 pm||So if I do not get called for a trip,79365,19
3bl7uCL1w3g,507.3,11 24 AM,true,11:24am,"network to do so||CNN declared that Biden was the Victor the next day at 11 24 AM followed by other networks||But Fox did not concur until 11:40 a m,",63842,25
npM4gonnp90,177.5,11:24 am,true,11:24am,"have occasionally caused part of the||spatter cone to collapse, with one example occurring at 11:24 am local time on July 24th,||which caused lava to flow onto a patch of ground",76736,27
C-2PxAfuO44,481.3,11:24 AM,true,11:24am,whatever positions you've taken on a consistent basis||So it's 11:24 AM and some of the banking stocks are moving||So if you take a look at,43227,27
cQ8XjmijU8c,592.5,11 24 am,false,11:24am,sparkling clean today is monday may 30th||it is 11 24 am on schedule just like we||promised we want to thank every one of,401613,2
iGXLPYaaUgI,2119.8,11 24 am,false,11:24am,to the senior parking lot where he||arrived at 11 24 am he spotted eric at||the front entrance and took cover behind,561067,22
bA1l_v4WxC8,44.6,11 24 am,false,11:24am,running today from||Disneyland and it's currently 11 24 am so we're like an hour and a half ish||late it's my fault,262489,20
jOWFDqDbIuY,20.2,11 24 am,false,11:24am,approaching sharjah||at 11 24 am local time dubai arrivals||cleared the focker down from 9000 feet,224528,28
aFMQpC33Cck,907.4,11 24 am,false,11:24am,11 24||oh take wait 11 24 am is that||anything to do with it July 30th no okay,484224,20
kpEg2sgDiDE,1012.6,11 24 am,false,11:24am,to as soon as I had the baby I had him||11 24 am it was after I pushed him out||or more I wouldn't even lie after,198560,24
Rcy7m4bETqg,587,11 24 am,false,11:24am,at all times and keep him safe||so this is what it looks like at 11 24 am and this is the brightest part of our||day isn't that a little bit,140739,22
sBDDd-DLmT0,163.7,11 24 am,false,11:24am,and get ready nugget||hello my loves 11 24 am nana literally||just woke up i called her and she's like,111381,24
a8_JjaCKrOQ,211,11 24 am,false,11:24am,london||at 11 24 am the first anti-aircraft gun||opened fire from essex but it was too,101935,2
