id,timestamp,token,manual,time,lines,views,category
xzzA-U55xKY,122.7,8 09 am,true,8:09am,"edia post that ""Over 2,000 passengers are here to experience our beautiful island ""||The Marella Discovery II docked at the Port Royal cruise port at 8 09 am||The Port Authority of Jamaica took a major step towards its planned development of a cruise port terminal in Port Royal,",78184,19
zu9VxIKAcDo,36,8 09 am,true,8:09am,"Marella Discovery II||at 8 09 am on Monday, 20 January 2020||with Prime Minister Andrew Holness celebrating its arrival as a momentous occasion",40764,19
kOjGWdVjRR0,203.9,8:09 AM,true,8:09am,It's been 2 and a half years since my last travel||It's already 8:09 AM So I stayed at the airport because the airplane arrived late||I think it's,10821,22
MRT4Op-vFO0,467.4,8 09 am,false,8:09am,area and radioed back to dispatch that||shots had been fired and by 8 09 am just||over 10 minutes since he called in for,633450,27
yNMjQ5vZLeY,196.1,8:09 am,false,8:09am,Jenny Macedo Gumby roots a guy'll head||suddenly unexpectedly at 8:09 am Akshay||centers this one message on the family I,302004,24
605IT-YO9YE,998.5,8 09 am,false,8:09am,and running||uh moon goes void on the 8th at 8 09 am and it is void uh in the morning until||11 23 when it goes into,12341,25
u2Ee86TYKyo,125.3,8:09 a m,true,8:09am,"but if not, 125||And the market doesn't open up for, it's 8:09 a m ,||so the market does not open up for",11886,27
hBgy4krC8Fc,278,8:09 a m,false,8:09am,are all recorded||at 8:09 a m boston air traffic control||makes routine contact with the captain,1886511,27
-qplTBPGsjU,254.8,8:09 a m,false,8:09am,and they still don't see Glenna wits at||8:09 a m the radio transmission no||officer wants to hear lieutenant joe,460691,25
iGdAu0glA0Q,27.6,8:09 a m,false,8:09am,have inspired me to do this video is||currently 8:09 a m I'm on my way to||work I haven't had breakfast and I am,317216,22
d15_v734sV4,81.4,8 09 a m,false,8:09am,stuff I need to do||um y'all it's currently 8 09 a m and||Lala gotta be dropped off to school,314255,22
Y0crUd2oIjE,118.9,8:09 a m,false,8:09am,into the well||at 8:09 a m mud was pumped through the||bottom all assembly to test the new,325411,28
2yq63MkRNPQ,506.5,8:09 a m,false,8:09am,let's say I want to||wake up at like oh I don't know 8:09 a m and I wanted to press save but I||still left p m,254767,28
E4h9GB8WMTI,791.6,8:09 a m,false,8:09am,unfortunately this triple by so for us||it's 8:09 a m we're about to go to||breakfast our last breakfast here our,177033,24
kNj7PweG9QM,157.3,8:09 a m,false,8:09am,not gonna use my phone till tomorrow||morning at 8:09 a m but how am I gonna||know it's two no matter if I don't,186400,24
TIteX9Rl13U,1127.3,8 09 a m,false,8:09am,same shirt i wore yesterday||um anyway so it is 8 09 a m and i am just getting a tea from||starbucks,65351,22
TpxjJMKR8BE,187.7,8:09 a m,false,8:09am,see this is chart this is the today's||chart March 28th 8:09 a m and I picked||City as Delhi because lot of my friends,53711,27
xuj5eywWzdI,1861.3,8:09 a m,false,8:09am,morning look at the times||8:09 a m 859 a m||9:15 a m,56938,22
7DM3AFU7pl8,682.1,8 09 a m,false,8:09am,the spill until it saw a sheen||on the water at 8 09 a m we were not||aware of any spill until,42158,25
7DM3AFU7pl8,685,8 09 a m,false,8:09am,we were not||aware of any spill until 8 09 a m on||saturday morning i promise you if we,42158,25
nKOBN7FYf84,461.2,8:09 a m,false,8:09am,before rising up into the clouds Friday||8:09 a m the Longinus sikdaar stood||just outside of the hospital she was,33449,23
7KiuWx7DTlU,59.4,8:09 a m,false,8:09am,operation||8:09 a m here in Detroit still have its||left still going strong for hours four,28720,22
SQSNjm-Ztgk,229,8 09 a m,false,8:09am,7th||8 09 a m that's on a tuesday||i said,22262,22
KNCKyCFUMpI,985.6,8 09 a m,false,8:09am,came in from filling up my water bottle||and currently it is 8 09 a m so i'm about to get ready to just check||my weight for you guys,23323,24
SnSv7Ukx9hU,247,8 09 a m,false,8:09am,free mac and cheese||good morning everybody it is 8 09 a m and i may have gotten four hours of||sleep,20243,24
5YL4DCyF83Y,234.9,8:09 a m,false,8:09am,and the pilots are all recorded||at 8:09 a m boston air traffic control||makes routine contact with the captain,21121,22
soOH2PLDo08,1033.3,8:09 a m,false,8:09am,if they weren't already panicked yeah so||it was October 7th at 8:09 a m Iram Brown was a 13 year old student who||was being taken to school by,14309,22
8OHdlq0UWOU,6.9,8:09 a m,false,8:09am,as you can see bro I'm recording this at||8:09 a m I've been up all night I got||eight friends online right now and I,13809,20
SwI_wiKCBZY,274.8,8:09 a m,false,8:09am,between the controllers and the pilots||are all recorded at 8:09 a m Boston air||traffic control makes routine contact,25219,27
_LoY1s7OXwY,433.3,8:09 a m,false,8:09am,natural it's not very cakey and so it is||now 8:09 a m so I'm going to go to work||and I am going to give you,12789,26
pxsvur-rJRs,14.9,8:09 a m,false,8:09am,her Alexa what's the time||it's 8:09 a m Alexa turn on whisper||mode okay whispered responses is now on,11283,28
_xXRA7n1plU,1063,8:09 a m,false,8:09am,notice Lighting's changed a little bit||the Sun has now risen it is 8:09 a m and we're finally here||I have 400 pieces and we are gonna go,10509,20
PQlj1h6zsDU,1297.1,8 09 a m,false,8:09am,the spill until it saw a sheen||on the water at 8 09 a m we're not aware||of any spill until,10040,25
PQlj1h6zsDU,1300.6,8 09 a m,false,8:09am,we're not aware||of any spill until 8 09 a m on saturday||morning i promised you if we were aware,10040,25
wQdpMBy_AwQ,34.2,8 09 a m,false,8:09am,alrighty good morning guys it's tuesday||8 09 a m ready for this next patrol and we||are starting off with someone on the,18349,20
