id,timestamp,token,manual,time,lines,views
JuYYsmQ2ulI,901.1,7:12pm,true,7:12pm,"at air traffic control in Melbourne||between 7:06 and 7:12pm||During the transmission,",13287721
JuYYsmQ2ulI,969.4,7:12pm,true,7:12pm,"End quote||His last message around 7:12pm to air traffic control||was quote, ah, Melbourned, that strange",13287721
Yonygqu9iVk,2688.4,7:12pm,true,7:12pm,this man||Hello so it is 7:12pm and I started um How We Fall||Apart,9833
f07_dZ3I4Bw,194.7,7:12pm,true,7:12pm,"a loud scraping noise came over the radio||Search and rescue alerts were sounded at 7:12pm||Sea and air searches encompassed a 1,000-mile radius over the course of 7",9026
YHSX5_vLR8Q,53.2,"7, 12pm",true,7:12pm,"Let’s do the math||The value at 10am was 5, 11am was 7, 12pm was 3, 1pm was 5 and 2pm was 7||The average of these values is",6261
tr7MQevBPTA,71.9,7:12pm,true,7:12pm,hopefully we can still make it||because it's already 7:12pm but I think we can make it right||the sun is still up anyway see,5466
houPMWqrRVc,420.5,7:12pm,true,7:12pm,actually no im one chapter behind||but currenlty its 7:12pm and im going to see if i can finish 1 chapter||and then call it,14785
nyhVENf3sx8,235.3,7-12pm,true,7:12pm,"docent Tuesday morning, and that's a two-hour block||That can be anywhere from 7-12pm , 7am-12pm||Great",1875
w1H28TiOUTc,84.5,7 12pm,false,7:12pm,little getting a little oh||yeah man anyway 7 12pm let's get right||into it,9793
2d4OtSJmooY,37.2,7:12 pm,true,7:12pm,"of ice and asks his sister, Jenna, to record||the time of the incident as 7:12 pm||That same day, Sam visits the police station to identify the killer on the pretense",668708
c6eRrcYuOYA,34.3,7:12 pm,true,7:12pm,about 84 tons of commercial cargo||The plane lifted off from hong Kong at about 7:12 pm on the 15th of january||They were 2 hours late,211416
wKp4hyAE01E,382.7,7:12 pm,true,7:12pm,"lasted just over 42 minutes||At 7:12 pm , Carter called Roy, with their phones connecting for||over 45 minutes",115391
1pO1LUf3N4A,370.6,7:12 pm,true,7:12pm,"that his engine was acting strangely||At 7:12 pm , metallic scraping sounds were heard||and his transmission was cut",105447
r4hYZ5eS-mQ,81.7,7:12 pm,true,7:12pm,"Davis as First Officer||They arrived at Rockhampton Airport at 7:12 pm ,||where the crew received the weather forecast",54041
7k6yUVRZTAk,301.4,7:12 pm,true,7:12pm,"there have been several reenactments,here's one of them||His final transmission was at 7:12 pm Some sources claim that the exchange went on after||this and that Valentich said his",31048
9kQkzZQqowY,332.3,7:12 PM,true,7:12pm,"heavy music||- Alright guys, it is 7:12 PM I just crossed over into Arizona||and first thing is a gas station truck stop",24629
9KYao-_eG4w,563.7,7:12 PM,true,7:12pm,weird stuff went on here||At 7:12 PM on the 21st October 1978 - one of the most unexplainable UFO sightings in||modern history,18702
Elup3WG-Vkc,625.2,7 12 PM,true,7:12pm,"ON SATURDAY,||FEBRUARY 18TH 2023 7 12 PM TEMPLE POLICE OFFICER||CHRISTOPHER FITZGERALD WENT OVER",8512
ipggFWnQihk,142.3,7:12 PM,true,7:12pm,"Aries calming our nerves as the Moon goes into steady Taurus||at 7:12 PM Pacific time for those next two and a half days||Mars, I mean, Mars rules",7658
