vid,start,token,exact,style,time
bdBhEv9aa6M,2622.4,10:00am,true,manual,10:00am
OHA7efLUISQ,1201,10:00am,true,manual,10:00am
QdTv2hnYeqc,1198.1,10:00am,true,manual,10:00am
OOPzWJVHr3Y,1521.9,10:00AM,true,manual,10:00am
tauNqKD8aMg,73.6,10:00am,true,manual,10:00am
q4FfZNzJ7aA,4003,10:00AM,true,manual,10:00am
KL1sFIN2xtk,426.4,10:00AM,true,manual,10:00am
liokytT2TSk,6363,10:00AM,true,manual,10:00am
ICWEci4uXTI,1093.7,10:00am,true,manual,10:00am
9dgABxzpbIE,969,10:00AM,true,manual,10:00am
-BNDub3h2_I,911.6,10:00am,true,manual,10:00am
i5Kt2KnbMp8,205.9,10:00AM,true,manual,10:00am
qWoloOxtvc0,12877.7,10:00am,true,manual,10:00am
Ck7yqX_ZIMk,81.9,10:00am,true,manual,10:00am
vtDavmp0Olo,1443.7,10:00AM,true,manual,10:00am
_0NFUYz6g0c,325.8,10:00am,true,manual,10:00am
VVMITs_RG4o,15255.4,10:00AM,true,manual,10:00am
VfRi6by7vUc,76,10:00AM,true,manual,10:00am
VeVdYGkR0-U,742.7,10:00AM,true,manual,10:00am
DJrMCpT9BmA,297.7,10:00AM,true,manual,10:00am
GnZgvlof2KM,628.2,10:00am,true,manual,10:00am
5dQHN-ZB5NA,27047,10:00AM,true,manual,10:00am
ekwVnus6g10,624.2,10:00am,true,manual,10:00am
C4L52ToHi2g,165.6,10:00AM,true,manual,10:00am
hKyArsq6NJ8,846,10:00am,true,manual,10:00am
nUAj2nz8MPg,2407.7,10:00AM,true,manual,10:00am
ol-RcWNd-Kc,358.8,10:00AM,true,manual,10:00am
bdBhEv9aa6M,2724.9,10:00pm,true,manual,10:00pm
kuanLbOMXOc,634.6,10:00pm,true,manual,10:00pm
10WKeRGzNJQ,777,10:00pm,true,manual,10:00pm
LU25d3hoZ6g,18102,10:00PM,true,manual,10:00pm
PfvVssT83MU,141.4,10:00pm,true,manual,10:00pm
NPM7N4LsVJo,225.6,10:00pm,true,manual,10:00pm
i5Kt2KnbMp8,415.6,10:00PM,true,manual,10:00pm
RKuuK9Nx2vQ,513.2,10:00pm,true,manual,10:00pm
uzBpLqOoy8A,218.1,10:00pm,true,manual,10:00pm
VjJusUStHc4,51.3,10:00PM,true,manual,10:00pm
I9_iZ2nH3lw,574.6,10:00pm,true,manual,10:00pm
O7YeUYAVGyg,26.8,10:00pm,true,manual,10:00pm
N-9RvvByynA,375.2,10:00pm,true,manual,10:00pm
eOQ-s3pqwUg,932.7,10:00pm,true,manual,10:00pm
u8MRyyFDX3c,408,10:00pm,true,manual,10:00pm
Zqvco9T0vlk,299.9,10:00pm,true,manual,10:00pm
FK6TV4atNus,743.3,10:00pm,true,manual,10:00pm
KfYUVQzyM-g,362.9,10:00PM,true,manual,10:00pm
LKA7oSeoNLU,160.5,10:00pm,true,manual,10:00pm
UB7jEV93dTs,28149.2,10:00PM,true,manual,10:00pm
1kzfmRmNJNE,3512.3,10:00pm,true,manual,10:00pm
VBhDroYExt0,2089.6,10:00pm,true,manual,10:00pm
ydAPFxgxtdk,1725.6,10:00PM,true,manual,10:00pm
QtClzXMl8CI,62.6,10:01am,true,manual,10:01am
VYkIo-YMY1s,428,10:01am,true,manual,10:01am
5Ih24u6ZtbA,48,10:01am,true,manual,10:01am
1VIsN-JV3ZQ,478.5,10:01am,true,manual,10:01am
WK-KBz9lX44,26.3,10:01am,true,manual,10:01am
NyopEd6LgQY,253.3,10:01AM,true,manual,10:01am
qZnNMz1nDb4,1497.4,10:01pm,true,manual,10:01pm
O8VPaZeD5es,912.8,10:01pm,true,manual,10:01pm
IYLkFBZrgb8,2122.4,10:01PM,true,manual,10:01pm
-BNDub3h2_I,1607.7,10:02am,true,manual,10:02am
4wpk-6u9kvI,582.9,10:02am,true,manual,10:02am
G3xyZbPaXkg,274.2,10:02am,true,manual,10:02am
FuM2o25OihY,556.7,10:02AM,true,manual,10:02am
qXNaLgJB8nk,30.1,10:02am,true,manual,10:02am
aTVSQt7TQuk,1361.8,10:02am,true,manual,10:02am
Xk8_NHCvqS8,248,10:02am,true,manual,10:02am
dyCAOOu-vM4,780,10:02am,true,manual,10:02am
kpNUKcVMDpY,355.9,10:02am,true,manual,10:02am
88Ip3P7g2Wg,66,10:02am,true,manual,10:02am
bdsd31mBRG0,368.6,10 02am,false,manual,10:02am
3QvUtMoEgUg,218.2,10:02pm,true,manual,10:02pm
0k0q-BKlZXU,383.2,10:02pm,true,manual,10:02pm
kjUFiBaGLCI,112.8,10:02pm,true,manual,10:02pm
-IJsjwHjvG8,486,10:03am,true,manual,10:03am
Mzcl_FUut0M,104,10:03am,true,manual,10:03am
Fmx7U_c36uI,170.1,10:03am,true,manual,10:03am
wAeoErD4KOg,33.4,10:03AM,true,manual,10:03am
_oiETsAKwbA,763.3,10:03am,true,manual,10:03am
AZbBLIdrivM,244.1,10:03AM,true,manual,10:03am
Hx_ME2g2PZM,94.8,10:03AM,true,manual,10:03am
D98gTTmzwT4,406.7,10:03am,true,manual,10:03am
yV1obLehgaI,219.9,10:03AM,true,manual,10:03am
YsMc0P4HnU4,219.9,10:03AM,true,manual,10:03am
zN6CztThnCM,521.8,10 03am,false,manual,10:03am
3QvUtMoEgUg,239.8,10:03pm,true,manual,10:03pm
UZWJZ7rstyU,1105.2,10:03pm,true,manual,10:03pm
2fn9iS2lkiE,728.4,10:03pm,true,manual,10:03pm
gOYibUy92DI,1.3,10:03pm,true,manual,10:03pm
CixJn3-Panc,22.6,10:03pm,true,manual,10:03pm
9P48HG73psw,1786.6,10:03pm,true,manual,10:03pm
94v3Pk_pJJ4,332.3,10 03pm,false,manual,10:03pm
zDiEAx8r9o8,8,10:04AM,true,manual,10:04am
NZU7Rl4gQs8,148.9,10:04am,true,manual,10:04am
o0Y7uT897LM,188.9,10 04am,false,manual,10:04am
haSbQV3dVu8,286.4,10:04pm,true,manual,10:04pm
