title,artist,value,verified,time,pageviews,timeWords
Choppa On The Couch,Young Dolph (Ft. Gucci Mane),"you wake up every morning (Haha)
She fell asleep at 10:00 PM
And I dipped out the house (Asleep",true,10:00,15117,
2016 Beats 1 Interview with Zane Lowe,Chance the Rapper,"Quick links
Part 1. 0:00 to 10:00 - Releasing Coloring Book, making of ""All We Got"" & demo
Part 2",true,10:00,5381,
Daddy Says No,Haschak Sisters,"friends
I promise to be back from the mall by 10:00
It's just like me and my girl",false,10:00,56567,
Cleaning This Gun (Come On In Boy),Rodney Atkins,"now y'all buckle up
And have her back by 10:00, uh
Let's say about 9:30
Drive",false,10:00,35721,
Breakfast At Tiffany’s [Script],Paramount Pictures,"I’m supposed to meet somebody. I mean this is 10:00 Thursday morning, isn’t it? I just got",false,10:00,21077,
The Highway Song,Sun Kil Moon,"Wang was hung in Hangtown on June 10th 1851 at 10:00 AM. His last words were ""cut this rope",false,10:00,7585,
1995 Westwood Freestyle (Me & Craig),The Notorious B.I.G. (Ft. Craig Mack),"my name- Mackalicious, ain't you got a king?
Before 10:00 Westwood, I'm no good
Shaking from here",false,10:00,7510,
In A Truck Right Now,Riley Green,"piece of Heaven ridin' shotgun supposed to be home by 10:00
But it's way past midnight, parked on",false,10:00,5844,
Summertime,New Kids On the Block,"remember what you told me too
""Don't call after 10:00"", but you know that I did
'Cause I",false,10:00,5236,
Why?,SML (Ft. Jeffy),"Eat green beans, I'd rather be dead
It's 10:00 and I'm ready for bed!
Hey daddy",false,10:00,,
Minimalite,Sagopa Kajmer (Ft. Dr. Fuchs & Mista Brown),"Guess what, life is repetition full of contemplation
Oh-oh! 10:00, I missed my bus
Bu sadece bir gündü",false,10:00,,
Christianity Is Stupid,Negativland,"10:00 at night! (Give up! Give up!)
From 5:00 in the morning till 10:00 at night! (Give",false,10:00,,
Wednesday Night Drinkball,Bomb the Music Industry!,"everybody is a little tired
It's Wednesday
So at 10:00, I'm walking down a chilly Boerum
To",false,10:00,,
,,,,10:01,,
,,,,10:02,,
,,,,10:03,,
,,,,10:04,,
Darkness,Eminem,"show up, time to start the show up
It's 10:05 PM and the curtain starts to go up",true,10:05,958583,
Me Myself & I (Freestyle),Big Sean,"it's Sean
Verses standing out like it close at 10 o'clock and its 10:05
Oh boy, I",true,10:05,72696,
Llovía,Canserbero,"Dicen los abuelos cuando oyen de sangre
Chaqueta con capucha, 10:05 p. m
Izquierda en el bolsillo, en la",false,10:05,40030,
Reelin’ and Rockin’,Chuck Berry,"of dawn
Well I looked at my watch, it was 10:05
Man, I didn't know if I was",false,10:05,7895,
​See​ You Soon,Samsa,"been here for an hour and a half, it’s 10:06 now
The candle wicks were gettin' wax on",true,10:06,12151,
Ghetto Heaven,The Family Stand,"the radio
And listens to the reverend preach
It's 10:07, and time to get some ghetto heaven
(Ghetto",false,10:07,,
,,,,10:08,,
,,,,10:09,,
So Anxious,Ginuwine,"this stallin', you know I'm a sexaholic
It's 10:10, where you been?
Did you get my message",false,10:10,147763,
,,,,10:11,,
,,,,10:12,,
,,,,10:13,,
,,,,10:14,,
​emails i can’t send,Sabrina Carpenter,"So I could see what you did October 13th
At 10:15, were you really asleep?
Were you lyin' to",true,10:15,158784,
Mufucka,G Herbo,"dance with you I got this tool in my trousers
10:15 just to come see me in V.I",true,10:15,57579,
10:15 Saturday Night,The Cure,"10:15 on a Saturday night
And the tap drips under the strip light
And I'm sitting in the",false,10:15,28060,
,,,,10:16,,
Hobby,Chief Keef,"Man, that shit is a hobby
What time is it? 10:17 and
It's me and Guwop
All these",true,10:17,69315,
