name,county,state,population,latitude,longitude,type
Alix,Franklin County,Arkansas,100,35.42472,-93.73056,u
Alpha,Fayette County,Iowa,100,42.99667,-92.04778,u
Alton,Osborne County,Kansas,100,39.47084,-98.94814,c
Aplin,Perry County,Arkansas,100,34.97389,-92.97889,u
Austinville,Butler County,Iowa,100,42.58583,-92.95722,u
Bald Hill,Angelina County,Texas,100,31.23963,-94.64493,u
Ben Hur,Limestone County,Texas,100,31.51028,-96.72778,u
Benchley,Brazos County,Texas,100,30.74861,-96.45861,u
Benchley,Robertson County,Texas,100,30.74861,-96.45861,u
Boykin,Kershaw County,South Carolina,100,34.11694,-80.58139,u
Brooklyn Heights,Jasper County,Missouri,100,37.17339,-94.38328,t
Callaghan,Webb County,Texas,100,27.87444,-99.39833,u
Cartwright,Wood County,Texas,100,32.87194,-95.37139,u
Centropolis,Franklin County,Kansas,100,38.71611,-95.35028,u
Cherry Grove,Fillmore County,Minnesota,100,43.5875,-92.28889,u
Childers Hill,Hardin County,Tennessee,100,35.07833,-88.325,u
Clarence,Ford County,Illinois,100,40.46389,-87.97083,u
Clear Creek,Ellsworth County,Kansas,100,38.74679,-98.11187,s
College Hill,Bowie County,Texas,100,33.41556,-94.61306,u
Comstock,Clay County,Minnesota,100,46.65941,-96.74841,c
Dawn,Livingston County,Missouri,100,39.66833,-93.63528,u
Duncan,Hancock County,Iowa,100,43.10468,-93.71133,d
Dundee,Walsh County,North Dakota,100,48.49964,-97.73147,s
Eden,Codington County,South Dakota,100,45.11576,-97.44286,s
Elk City,Idaho County,Idaho,100,45.82685,-115.43679,d
Elsie,Perkins County,Nebraska,100,40.84750,-101.38850,v
Everest,Cass County,North Dakota,100,46.84679,-97.24149,s
Fox,Carbon County,Montana,100,45.27667,-109.21694,u
Friendsville,Susquehanna County,Pennsylvania,100,41.91702,-76.04548,b
Garden City,Hardin County,Iowa,100,42.24556,-93.39556,#ERR
Gilchrist,Mercer County,Illinois,100,41.20528,-90.62417,u
Good Hope,Leake County,Mississippi,100,32.62806,-89.62889,u
Hope,Bonner County,Idaho,100,48.24771,-116.30712,c
Iola,Clay County,Illinois,100,38.83449,-88.62811,v
Luray,Hampton County,South Carolina,100,32.81378,-81.23983,t
Macksburg,Madison County,Iowa,100,41.21471,-94.18523,c
Marcell,Itasca County,Minnesota,100,47.59306,-93.69083,u
Marietta,Fulton County,Illinois,100,40.50115,-90.39263,v
Mendoza,Caldwell County,Texas,100,30.005,-97.68611,u
Mentz,Colorado County,Texas,100,29.75028,-96.43694,u
Meyer,Pierce County,North Dakota,100,48.32303,-99.89105,s
Milledgeville,Fayette County,Ohio,100,39.59284,-83.58742,v
Mineral,Lewis County,Washington,100,46.71705,-122.18094,d
Moffett,Angelina County,Texas,100,31.39824,-94.64326,u
Old Boston,Bowie County,Texas,100,33.40389,-94.41639,u
Old Glory,Stonewall County,Texas,100,33.12972,-100.05583,u
Pensacola,Mayes County,Oklahoma,100,36.45509,-95.13052,t
Reedville,Caldwell County,Texas,100,29.87972,-97.84639,u
Rhineland,Knox County,Texas,100,33.52972,-99.655,u
Ringgold,Montague County,Texas,100,33.82028,-97.94361,u
Riverdale,Dickey County,North Dakota,100,46.05914,-98.08060,s
Roseville,Grant County,Minnesota,100,45.80686,-95.94963,s
Sugar Island,Kankakee County,Illinois,100,41.00639,-87.82361,u
Sumner,Coos County,Oregon,100,43.28167,-124.15083,u
Toronto,Clinton County,Iowa,100,41.90502,-90.86403,c
Wayside,Armstrong County,Texas,100,34.79278,-101.54722,u
Wellborn,Brazos County,Texas,100,30.53528,-96.30167,u
Whiting,Platte County,Wyoming,100,42.01219,-104.96053,d
Batesville,Noble County,Ohio,101,39.91424,-81.28122,v
Blakely,Geary County,Kansas,101,38.92373,-96.75070,s
Brush Creek,Delaware County,Oklahoma,101,36.41675,-94.78606,d
Century,Barbour County,West Virginia,101,39.09982,-80.18869,d
Corwin Springs,Park County,Montana,101,45.11306,-110.79,u
Fairview,Barton County,Kansas,101,38.66004,-98.97417,s
Fox Creek,Harrison County,Missouri,101,40.24235,-93.82775,s
Galloway,Barbour County,West Virginia,101,39.23176,-80.12203,d
Glenn,Heard County,Georgia,101,33.15417,-85.20306,u
Golden,Holt County,Nebraska,101,42.31821,-98.39531,s
Hallowell,Cherokee County,Kansas,101,37.17472,-94.99556,u
Hanna,McIntosh County,Oklahoma,101,35.20510,-95.89028,t
Harrison,Grundy County,Missouri,101,40.17679,-93.70109,s
Hazel,Hamlin County,South Dakota,101,44.75969,-97.37952,t
Latham,Butler County,Kansas,101,37.53613,-96.64197,c
Lelia Lake,Donley County,Texas,101,34.90111,-100.77056,u
Lonsdale,Garland County,Arkansas,101,34.54454,-92.80822,t
Mentor,Saline County,Kansas,101,38.74056,-97.60306,u
Middleburg,Vance County,North Carolina,101,36.39959,-78.32250,t
Moyer,Swift County,Minnesota,101,45.29002,-95.94287,s
New Hope,Brown County,South Dakota,101,45.29399,-98.67074,s
Powell,Navarro County,Texas,101,32.11765,-96.32387,t
Richland,Kingman County,Kansas,101,37.50895,-98.08283,s
Sedan,Gallatin County,Montana,101,45.95882,-110.85105,d
Smithfield,Wetzel County,West Virginia,101,39.49953,-80.56176,t
Tony,Rusk County,Wisconsin,101,45.48302,-90.99264,v
Union Center,Elk County,Kansas,101,37.52575,-96.42639,s
Utica,Ness County,Kansas,101,38.64390,-100.16985,c
Vernon,Marion County,Illinois,101,38.80227,-89.08701,v
Water Valley,Graves County,Kentucky,101,36.56562,-88.81117,d
Wever,Lee County,Iowa,101,40.71056,-91.23111,u
Wheaton,Pottawatomie County,Kansas,101,39.50222,-96.32084,c
White Oak,Dunklin County,Missouri,101,36.33,-90.0275,u
Asbury,Gallatin County,Illinois,102,37.88478,-88.20167,s
Atlanta,Phelps County,Nebraska,102,40.36668,-99.47316,v
Baker,Stevens County,Minnesota,102,45.53490,-96.16903,s
Beaver,Republic County,Kansas,102,39.68954,-97.88264,s
Big Creek,Logan County,West Virginia,102,38.00427,-82.04013,d
Brainard,Brown County,South Dakota,102,45.72696,-98.38346,s
Cedar,Leelanau County,Michigan,102,44.84778,-85.79556,u
Dudley,Stoddard County,Missouri,102,36.78866,-90.09315,c
Ellamore,Randolph County,West Virginia,102,38.92417,-80.09028,u
Ellamore,Upshur County,West Virginia,102,38.92417,-80.09028,u
Evansville,Washington County,Arkansas,102,35.79536,-94.49689,u
Everton,Boone County,Arkansas,102,36.15535,-92.90684,t
Foss,Washita County,Oklahoma,102,35.45449,-99.16981,t
Franklin,Greenlee County,Arizona,102,32.67757,-109.07923,d
Glenwood,Deuel County,South Dakota,102,44.84177,-96.54412,s
Grace,Chippewa County,Minnesota,102,45.10096,-95.54329,s
Horace,Greeley County,Kansas,102,38.47640,-101.79073,c
Keene,Jessamine County,Kentucky,102,37.94341,-84.64189,c
