id,timestamp,token,manual,time,lines,views
NGMHdLQj1iU,144.4,3:07pm,true,3:07pm,"Milton, from that day on, would always wish it was for a different reason||At 3:07pm each day Harold Henderson would kick the crap out of Milton||This continued seven days",207480
wmFEusnuuqs,190.8,3:07 PM,true,3:07pm,"hour is allegedly an inversion of the time when||Jesus died on the cross at 3:07 PM||Yeah, basically the devil's whole shtick is to do the opposite of what Jesus",117337
R_u1d48Kjvo,141.2,3:07 p m,false,3:07pm,the field and look at this there's||nobody here look at this it's 3:07 p m game time is in three minutes oh my god||please somebody hit a home run,3471873
YMJujlRuwbs,173.4,3:07 p m,false,3:07pm,at Milly school catches her leaving as||normal at 3:07 p m she then walked to||the train station with her friend,3042002
cEpT2Tvr24s,62.1,3:07 p m,false,3:07pm,you for real yeah dude hold on let me||Sunday June 28th 3:07 p m am I missing||something you're lying you have to be,1580791
7-odbIOu1Ow,413,3:07 p m,false,3:07pm,my phone was hacked there's no karate||tournament tomorrow at 3:07 p m there||better not be,1525948
ixnQq0W2_JE,82.6,3:07 p m,false,3:07pm,with that meet me at the courthouse||after school at 3:07 p m sharp||understood good let me just get it out,890648
BjG7Jh78jWM,978,3:07 p m,false,3:07pm,really can't tell well no I can't be||3:07 p m because we left at 6:00 time||to get some shut-eye,905349
K01IfVmsV1E,419.7,3:07 p m,false,3:07pm,to get him back cuz I know he brushes||his teeth at 3:07 p m every single day||same time and it's almost that time so,429629
2QKLSJKEtgk,767.4,3:07 p m,false,3:07pm,kind of be untraceable of the last ping||would be 14 minutes later at 3:07 p m about a mile from her house and of||course because Jimmy was the last person,448585
O4PMnkWJxPU,257,3:07 p m,false,3:07pm,it it'll be lunchtime||3:07 p m a little bit of a late lunch I||have a crazy Chinese food for a,191771
0A46WUoV4zo,353.8,3:07 p m,false,3:07pm,were at a minute's silence which||ended it I think three oh four pm 3:07 p m yeah jailings put out a tweet about||fee for 18 jailings basically defending,101233
